Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
"
Ryzen Threadripper 3990X
",Matisse,64  / 128,2.9 to 4.3 GHz,Socket TRX4,7 nm,128MB,280 W,"Feb 7th, 2020"
"
Core i5-650
",Clarkdale,2  / 4,3.2 to 3.466 GHz,Socket 1156,32 nm,4MB,73 W,"Jan 7th, 2010"
"
Core i7-4770
",Haswell,4  / 8,3.4 to 3.9 GHz,Socket 1150,22 nm,8MB,84 W,"Jun 2nd, 2013"
"
Ryzen 3 2200G
",Raven Ridge,4 ,3.5 to 3.7 GHz,Socket AM4,14 nm,4MB,65 W,"Feb 12th, 2018"
"
Core i7-4790
",Haswell,4  / 8,3.6 to 4 GHz,Socket 1150,22 nm,8MB,84 W,"May 1st, 2014"
"
Core i3-380M
",Arrandale,2  / 4,2.534 GHz,Socket G1,32 nm,3MB,35 W,"Oct 26th, 2010"
"
Core i5-1135G7
",Tiger Lake-U,4  / 8,2.4 to 4.2 GHz,BGA 1449,10 nm,8MB,28 W,"Sep 2nd, 2020"
"
A10-9700
",Bristol Ridge,4 ,3.5 to 3.8 GHz,Socket AM4,28 nm,N/A,65 W,"Jul 27th, 2017"
"
Core 2 Quad Q6600 (95W)
",Kentsfield,4 ,2.4 GHz,Socket 775,65 nm,N/A,95 W,"Jul 23rd, 2007"
"
Ryzen 5 1600
",Zen,6  / 12,3.2 to 3.6 GHz,Socket AM4,14 nm,16MB,65 W,"Apr 11th, 2017"
"
Ryzen 5 3600X
",Matisse,6  / 12,3.8 to 4.4 GHz,Socket AM4,7 nm,32MB,95 W,"Jul 7th, 2019"
"
Core i3-10100
",Comet Lake,4  / 8,3.6 to 4.3 GHz,Socket 1200,14 nm,6MB,65 W,"Apr 30th, 2020"
"
Ryzen 5 PRO 4650G
",Renoir,6  / 12,3.7 to 4.2 GHz,Socket AM4,7 nm,8MB,65 W,"Jul 21st, 2020"
"
Ryzen 3 4300GE
",Renoir,4  / 8,3.5 to 4 GHz,Socket AM4,7 nm,4MB,35 W,"Jul 21st, 2020"
"
Core i5-11400
",Rocket Lake,6  / 12,2.6 to 4.4 GHz,Socket 1200,14 nm,12MB,65 W,"Mar 16th, 2021"
